,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Tura,100,IN,1558560737,85,25.52,90.21,78.19,10.49
1,Avarua,31,CK,1558560516,83,-21.21,-159.78,77.0,10.29
2,Mataura,8,NZ,1558560738,85,-46.19,168.86,51.01,4.81
3,Butaritari,73,KI,1558560739,70,3.07,172.79,83.95,6.02
4,Hithadhoo,100,MV,1558560488,73,-0.6,73.08,83.95,12.33
5,Rikitea,35,PF,1558560739,73,-23.12,-134.97,75.85,10.89
6,Bredasdorp,41,ZA,1558560740,87,-34.53,20.04,53.6,4.7
7,San Patricio,98,PY,1558560740,95,-26.98,-56.83,61.63,6.82
8,Shakiso,33,ET,1558560741,99,5.77,38.9,54.43,3.87
9,New Norfolk,75,AU,1558560741,57,-42.78,147.06,55.0,11.41
10,Taua,58,SL,1558560742,72,8.79,-12.72,81.97,5.79
11,Puerto Ayora,75,EC,1558560692,78,-0.74,-90.35,78.8,12.75
12,Ushuaia,90,AR,1558560742,86,-54.81,-68.31,37.4,17.22
13,Cape Town,0,ZA,1558560743,93,-33.93,18.42,61.0,4.7
14,Hobart,75,AU,1558560608,57,-42.88,147.33,55.0,11.41
15,Atuona,21,PF,1558560743,75,-9.8,-139.03,82.33,11.7
16,Nikolskoye,40,RU,1558560744,82,59.7,30.79,60.8,4.47
17,Bluff,0,AU,1558560744,79,-23.58,149.07,59.11,10.4
18,Port Elizabeth,1,US,1558560745,33,39.31,-74.98,78.01,6.93
19,Lebu,100,ET,1558560745,87,8.96,38.73,58.21,5.08
20,Albany,75,US,1558560624,30,42.65,-73.75,71.01,6.93
21,Georgetown,75,GY,1558560603,74,6.8,-58.16,84.2,13.87
22,Mana,40,RS,1558560746,87,43.52,20.24,59.0,1.12
23,Sao Joao da Barra,0,BR,1558560747,88,-21.64,-41.05,78.8,5.82
24,Puerto Cabezas,75,NI,1558560615,79,14.04,-83.39,84.2,9.17
25,Dudinka,75,RU,1558560747,92,69.41,86.18,19.4,11.18
26,Dom Pedrito,90,BR,1558560522,82,-30.98,-54.67,62.6,8.05
27,Kapaa,1,US,1558560748,69,22.08,-159.32,82.4,10.29
28,Laramie,90,US,1558560748,52,41.31,-105.59,44.01,19.46
29,Cartagena del Chaira,100,CO,1558560749,90,1.33,-74.84,79.45,2.39
30,Vila Franca do Campo,20,PT,1558560749,88,37.72,-25.43,62.6,10.29
31,Jamestown,0,AU,1558560640,61,-33.21,138.6,59.11,5.97
32,Mahebourg,75,MU,1558560750,83,-20.41,57.7,75.2,10.13
33,Saskylakh,52,RU,1558560750,87,71.97,114.09,29.59,8.99
34,San Juan de los Morros,100,VE,1558560604,67,9.91,-67.35,79.27,6.04
35,Ribeira Grande,40,PT,1558560751,82,38.52,-28.7,64.4,8.05
36,Khatanga,100,RU,1558560751,93,71.98,102.47,28.33,21.63
37,Vaini,83,IN,1558560752,92,15.34,74.49,77.83,1.92
38,Henties Bay,7,NA,1558560752,91,-22.12,14.28,57.0,3.0
39,Victoria,75,BN,1558560753,88,5.28,115.24,80.6,2.24
40,Punta Arenas,90,CL,1558560754,93,-53.16,-70.91,46.4,4.7
41,Port Hawkesbury,20,CA,1558560754,70,45.62,-61.36,46.0,16.11
42,Shelburne,90,CA,1558560755,54,44.08,-80.2,57.0,12.75
43,Rome,0,IT,1558560749,82,41.89,12.48,61.0,2.24
44,Manta,34,RO,1558560755,92,45.1,24.1,53.17,3.62
45,Qaanaaq,99,GL,1558560756,77,77.48,-69.36,28.87,4.36
46,Santa Maria,90,BR,1558560757,93,-29.69,-53.81,66.2,9.17
47,Saldanha,4,PT,1558560757,64,41.42,-6.55,63.97,7.23
48,Xuddur,67,SO,1558560757,75,4.12,43.89,77.83,9.75
49,Ugoofaaru,99,MV,1558560758,77,5.67,73.0,84.67,10.07
50,Basco,90,US,1558560758,61,40.33,-91.2,84.0,17.22
51,Yellowknife,20,CA,1558560584,29,62.45,-114.38,50.0,8.05
52,Lusambo,100,CD,1558560759,76,-4.97,23.44,72.61,1.32
53,Torbay,90,CA,1558560759,100,47.66,-52.73,36.0,20.8
54,Castro,75,CL,1558560760,87,-42.48,-73.76,44.6,5.82
55,Upernavik,0,GL,1558560761,81,72.79,-56.15,33.73,7.9
56,Nkhotakota,0,MW,1558560761,57,-12.93,34.3,62.53,4.83
57,Bethel,40,US,1558560762,66,60.79,-161.76,57.2,14.99
58,Faanui,34,PF,1558560741,74,-16.48,-151.75,82.15,7.47
59,Ancud,75,CL,1558560763,87,-41.87,-73.83,44.6,5.82
60,Roebourne,0,AU,1558560763,14,-20.77,117.15,78.55,10.45
61,Chokurdakh,86,RU,1558560763,83,70.62,147.9,20.23,18.32
62,Nigde,93,TR,1558560609,54,37.97,34.68,58.75,5.53
63,Biltine,52,TD,1558560764,4,14.53,20.93,93.31,9.22
64,Kenai,1,US,1558560764,44,60.55,-151.26,64.99,14.99
65,Aswan,0,EG,1558560765,11,24.09,32.9,98.6,12.75
66,Launceston,43,AU,1558560765,100,-41.43,147.14,48.0,5.82
67,Broken Hill,90,AU,1558560765,59,-31.97,141.45,62.6,6.93
68,Geraldton,90,CA,1558560766,93,49.72,-86.95,46.4,9.17
69,Rensvik,75,NO,1558560766,87,63.1,7.82,55.4,19.46
70,Ponta do Sol,10,BR,1558560767,83,-20.63,-46.0,64.87,4.18
71,Kita,75,JP,1558560767,59,35.76,139.74,66.99,11.41
72,Klaksvik,100,FO,1558560767,93,62.23,-6.59,42.8,23.04
73,Airai,73,TL,1558560768,62,-8.93,125.41,74.59,7.45
74,Bukachacha,17,RU,1558560768,72,52.99,116.91,47.77,5.7
75,Hermanus,50,ZA,1558560768,81,-34.42,19.24,57.99,1.99
76,Mwinilunga,39,ZM,1558560769,74,-11.73,24.43,62.71,3.13
77,Grenada,40,US,1558560769,55,33.77,-89.81,89.6,8.05
78,Ahipara,89,NZ,1558560769,100,-35.17,173.16,55.0,8.39
79,Verkhnevilyuysk,85,RU,1558560770,69,63.45,120.31,47.41,7.23
80,Faya,40,SA,1558560770,67,18.39,42.45,62.6,6.93
81,Alghero,40,IT,1558560771,93,40.56,8.32,59.0,5.82
82,Marzuq,100,YE,1558560771,41,14.4,46.47,78.91,4.18
83,Moose Factory,1,CA,1558560771,62,51.26,-80.61,53.6,16.11
